get_tugas_untuk_mata_kuliah,get_jadwal,get_ruangan,get_info_dosen
Tugas [minggu ini](WAKTU) apa aja?,Jadwal [hari selasa](WAKTU),{{MATKUL}} di ruangan apa?,Siapa dosen mata kuliah {{MATKUL}}?
List tugas {{MATKUL}},Apa aja matkul [hari rabu](WAKTU),Info room {{MATKUL}},Kode dosen Pak [Ipam](NAMA_DOSEN)
Ada tugas ga [hari ini](WAKTU)?,Jadwal [hari ini] (WAKTU),Ruang berapa pelajaran {{MATKUL}}?,No.hp bu [yohani](NAMA_DOSEN)
Tugas {{MATKUL}} dikumpulin kapan?,Matkul pertama [hari senin](WAKTU) apa?,Dimana tempat kuliah {{MATKUL}}?,Minta kontak dosen {{MATKUL}}
Ada tagihan tugas ga buat [minggu depan](WAKTU)?,{{MATKUL}} jam brp selesai?,Cek ruangan untuk {{MATKUL}},Sp nama dosen {{MATKUL}}?
Spill tugas {{MATKUL}} [hari ini](WAKTU),Kapan jadwal {{MATKUL}}?,Info lokasi kelas {{MATKUL}},
Masih ada tugas yg belum kelar ga buat [besok](WAKTU)?,Cek jam kuliah [besok pagi](WAKTU),,
Tolong list PR {{MATKUL}},Durasi kelas {{MATKUL}} sampai jam berapa?,,
Rekap tugas {{MATKUL}},,,
Apa PR untuk [lusa](WAKTU)?,,,
"Lupa tugas {{MATKUL}}, tolong ingatkan",,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Apakah ada Tugas [minggu ini](WAKTU)?,,Ruangan untuk kuliah {{MATKUL}} di mana?,Kontak dosen {{MATKUL}} ada?
Adakah Tugas [minggu ini](WAKTU) apa aja?,Saya ada kelas apa besok?,Lokasi kelas {{MATKUL}} sekarang ada di ruangan berapa?,Email dosen {{MATKUL}} berapa?
Apakah saya memiliki tugas [minggu ini](WAKTU) ?,Jadwal kuliah hari ini apa aja?,Kelas {{MATKUL}} saya lantai berapa?,Siapa dosen pengampu untuk mata kuliah {{MATKUL}}?
"Bagaimana jika kamu cek, apakah saya meiliki Tugas [minggu ini](WAKTU) apa aja?",Mata kuliah apa aja yang masuk pada hari [hari senin](WAKTU)?,Ruangan kuliah untuk {{MATKUL}} kelas berapa?,Siapa dosen kelas saya untuk {{MATKUL}}?
Tugas apa saja yang saya miliki [minggu ini](WAKTU) ?,tunjukan jadwal [hari selasa](WAKTU),Di mana saya harus masuk untuk kelas {{MATKUL}}?,Kontak Bu [NAMA_DOSEN]
Tugas apa saja yang memiliki deadline [minggu ini](WAKTU) ?,Bagaimana jadwal kuliah minggu ini (WAKTU)?,Kelas {{MATKUL}} diadakan di ruangan apa?,Nomor telepon Pak [NAMA_DOSEN]
