text,intent
Tugas [minggu ini](WAKTU) apa aja?,get_tugas_untuk_mata_kuliah
Jadwal [hari selasa](WAKTU),get_jadwal
[Computing Project](MATKUL) di ruangan apa?,get_ruangan
[Kerja Praktik](MATKUL) di ruangan apa?,get_ruangan
[Tugas Akhir](MATKUL) di ruangan apa?,get_ruangan
[Swarm and Evolutionary Computation](MATKUL) di ruangan apa?,get_ruangan
[Representasi Pengetahuan](MATKUL) di ruangan apa?,get_ruangan
[Sistem Multi Agen](MATKUL) di ruangan apa?,get_ruangan
[IoT dengan Kemampuan Cerdas](MATKUL) di ruangan apa?,get_ruangan
[Pengolahan Citra Digital](MATKUL) di ruangan apa?,get_ruangan
[Pengolahan Bahasa Alami](MATKUL) di ruangan apa?,get_ruangan
[Sistem Pemberi Rekomendasi](MATKUL) di ruangan apa?,get_ruangan
[Big Data dan AI](MATKUL) di ruangan apa?,get_ruangan
[Sistem Keamanan Cerdas](MATKUL) di ruangan apa?,get_ruangan
[Visualisasi Data](MATKUL) di ruangan apa?,get_ruangan
[Desain Interaksi](MATKUL) di ruangan apa?,get_ruangan
[Analisis Jejaring Sosial](MATKUL) di ruangan apa?,get_ruangan
[Visi Komputer](MATKUL) di ruangan apa?,get_ruangan
[Forensik Digital](MATKUL) di ruangan apa?,get_ruangan
[Verifikasi dan Validasi Perangkat Lunak](MATKUL) di ruangan apa?,get_ruangan
[Process Mining](MATKUL) di ruangan apa?,get_ruangan
[Generative AI](MATKUL) di ruangan apa?,get_ruangan
[Komputasi Paralel](MATKUL) di ruangan apa?,get_ruangan
Siapa dosen mata kuliah [Computing Project](MATKUL)?,get_info_dosen
Siapa dosen mata kuliah [Kerja Praktik](MATKUL)?,get_info_dosen
Siapa dosen mata kuliah [Tugas Akhir](MATKUL)?,get_info_dosen
Siapa dosen mata kuliah [Swarm and Evolutionary Computation](MATKUL)?,get_info_dosen
Siapa dosen mata kuliah [Representasi Pengetahuan](MATKUL)?,get_info_dosen
Siapa dosen mata kuliah [Sistem Multi Agen](MATKUL)?,get_info_dosen
Siapa dosen mata kuliah [IoT dengan Kemampuan Cerdas](MATKUL)?,get_info_dosen
Siapa dosen mata kuliah [Pengolahan Citra Digital](MATKUL)?,get_info_dosen
Siapa dosen mata kuliah [Pengolahan Bahasa Alami](MATKUL)?,get_info_dosen
Siapa dosen mata kuliah [Sistem Pemberi Rekomendasi](MATKUL)?,get_info_dosen
Siapa dosen mata kuliah [Big Data dan AI](MATKUL)?,get_info_dosen
Siapa dosen mata kuliah [Sistem Keamanan Cerdas](MATKUL)?,get_info_dosen
Siapa dosen mata kuliah [Visualisasi Data](MATKUL)?,get_info_dosen
Siapa dosen mata kuliah [Desain Interaksi](MATKUL)?,get_info_dosen
Siapa dosen mata kuliah [Analisis Jejaring Sosial](MATKUL)?,get_info_dosen
Siapa dosen mata kuliah [Visi Komputer](MATKUL)?,get_info_dosen
Siapa dosen mata kuliah [Forensik Digital](MATKUL)?,get_info_dosen
Siapa dosen mata kuliah [Verifikasi dan Validasi Perangkat Lunak](MATKUL)?,get_info_dosen
Siapa dosen mata kuliah [Process Mining](MATKUL)?,get_info_dosen
Siapa dosen mata kuliah [Generative AI](MATKUL)?,get_info_dosen
Siapa dosen mata kuliah [Komputasi Paralel](MATKUL)?,get_info_dosen
List tugas [Computing Project](MATKUL),get_tugas_untuk_mata_kuliah
List tugas [Kerja Praktik](MATKUL),get_tugas_untuk_mata_kuliah
List tugas [Tugas Akhir](MATKUL),get_tugas_untuk_mata_kuliah
List tugas [Swarm and Evolutionary Computation](MATKUL),get_tugas_untuk_mata_kuliah
List tugas [Representasi Pengetahuan](MATKUL),get_tugas_untuk_mata_kuliah
List tugas [Sistem Multi Agen](MATKUL),get_tugas_untuk_mata_kuliah
List tugas [IoT dengan Kemampuan Cerdas](MATKUL),get_tugas_untuk_mata_kuliah
List tugas [Pengolahan Citra Digital](MATKUL),get_tugas_untuk_mata_kuliah
List tugas [Pengolahan Bahasa Alami](MATKUL),get_tugas_untuk_mata_kuliah
List tugas [Sistem Pemberi Rekomendasi](MATKUL),get_tugas_untuk_mata_kuliah
List tugas [Big Data dan AI](MATKUL),get_tugas_untuk_mata_kuliah
List tugas [Sistem Keamanan Cerdas](MATKUL),get_tugas_untuk_mata_kuliah
List tugas [Visualisasi Data](MATKUL),get_tugas_untuk_mata_kuliah
List tugas [Desain Interaksi](MATKUL),get_tugas_untuk_mata_kuliah
List tugas [Analisis Jejaring Sosial](MATKUL),get_tugas_untuk_mata_kuliah
List tugas [Visi Komputer](MATKUL),get_tugas_untuk_mata_kuliah
List tugas [Forensik Digital](MATKUL),get_tugas_untuk_mata_kuliah
List tugas [Verifikasi dan Validasi Perangkat Lunak](MATKUL),get_tugas_untuk_mata_kuliah
List tugas [Process Mining](MATKUL),get_tugas_untuk_mata_kuliah
List tugas [Generative AI](MATKUL),get_tugas_untuk_mata_kuliah
List tugas [Komputasi Paralel](MATKUL),get_tugas_untuk_mata_kuliah
Apa aja matkul [hari rabu](WAKTU),get_jadwal
Info room [Computing Project](MATKUL),get_ruangan
Info room [Kerja Praktik](MATKUL),get_ruangan
Info room [Tugas Akhir](MATKUL),get_ruangan
Info room [Swarm and Evolutionary Computation](MATKUL),get_ruangan
Info room [Representasi Pengetahuan](MATKUL),get_ruangan
Info room [Sistem Multi Agen](MATKUL),get_ruangan
Info room [IoT dengan Kemampuan Cerdas](MATKUL),get_ruangan
Info room [Pengolahan Citra Digital](MATKUL),get_ruangan
Info room [Pengolahan Bahasa Alami](MATKUL),get_ruangan
Info room [Sistem Pemberi Rekomendasi](MATKUL),get_ruangan
Info room [Big Data dan AI](MATKUL),get_ruangan
Info room [Sistem Keamanan Cerdas](MATKUL),get_ruangan
Info room [Visualisasi Data](MATKUL),get_ruangan
Info room [Desain Interaksi](MATKUL),get_ruangan
Info room [Analisis Jejaring Sosial](MATKUL),get_ruangan
Info room [Visi Komputer](MATKUL),get_ruangan
Info room [Forensik Digital](MATKUL),get_ruangan
Info room [Verifikasi dan Validasi Perangkat Lunak](MATKUL),get_ruangan
Info room [Process Mining](MATKUL),get_ruangan
Info room [Generative AI](MATKUL),get_ruangan
Info room [Komputasi Paralel](MATKUL),get_ruangan
Kode dosen Pak [Ipam](NAMA_DOSEN),get_info_dosen
Ada tugas ga [hari ini](WAKTU)?,get_tugas_untuk_mata_kuliah
Jadwal [hari ini](WAKTU),get_jadwal
Ruang berapa pelajaran [Computing Project](MATKUL)?,get_ruangan
Ruang berapa pelajaran [Kerja Praktik](MATKUL)?,get_ruangan
Ruang berapa pelajaran [Tugas Akhir](MATKUL)?,get_ruangan
Ruang berapa pelajaran [Swarm and Evolutionary Computation](MATKUL)?,get_ruangan
Ruang berapa pelajaran [Representasi Pengetahuan](MATKUL)?,get_ruangan
Ruang berapa pelajaran [Sistem Multi Agen](MATKUL)?,get_ruangan
Ruang berapa pelajaran [IoT dengan Kemampuan Cerdas](MATKUL)?,get_ruangan
Ruang berapa pelajaran [Pengolahan Citra Digital](MATKUL)?,get_ruangan
Ruang berapa pelajaran [Pengolahan Bahasa Alami](MATKUL)?,get_ruangan
Ruang berapa pelajaran [Sistem Pemberi Rekomendasi](MATKUL)?,get_ruangan
Ruang berapa pelajaran [Big Data dan AI](MATKUL)?,get_ruangan
Ruang berapa pelajaran [Sistem Keamanan Cerdas](MATKUL)?,get_ruangan
Ruang berapa pelajaran [Visualisasi Data](MATKUL)?,get_ruangan
Ruang berapa pelajaran [Desain Interaksi](MATKUL)?,get_ruangan
Ruang berapa pelajaran [Analisis Jejaring Sosial](MATKUL)?,get_ruangan
Ruang berapa pelajaran [Visi Komputer](MATKUL)?,get_ruangan
Ruang berapa pelajaran [Forensik Digital](MATKUL)?,get_ruangan
Ruang berapa pelajaran [Verifikasi dan Validasi Perangkat Lunak](MATKUL)?,get_ruangan
Ruang berapa pelajaran [Process Mining](MATKUL)?,get_ruangan
Ruang berapa pelajaran [Generative AI](MATKUL)?,get_ruangan
Ruang berapa pelajaran [Komputasi Paralel](MATKUL)?,get_ruangan
No.hp bu [yohani](NAMA_DOSEN),get_info_dosen
Tugas [Computing Project](MATKUL) dikumpulin kapan?,get_tugas_untuk_mata_kuliah
Tugas [Kerja Praktik](MATKUL) dikumpulin kapan?,get_tugas_untuk_mata_kuliah
Tugas [Tugas Akhir](MATKUL) dikumpulin kapan?,get_tugas_untuk_mata_kuliah
Tugas [Swarm and Evolutionary Computation](MATKUL) dikumpulin kapan?,get_tugas_untuk_mata_kuliah
